Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220.98,-114.808,0,top
C3,22uf,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,218.694,-125.73,0,top
C4,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,185.928,-119.38,0,top
C5,10uf 25V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.964,-110.998,270,top
C6,0.1uF 50V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.655001,-123.441001,0,top
G***,LOGO,marknotgeorge logo,198.374,-87.63,0,top
IC1,SN74AHCT125D,SOIC127P600X175-14N,225.298,-106.172,180,top
Q1,SS8050,SOT-323_SC-70_Handsoldering,208.788,-97.79,180,top
Q2,SS8050,SOT-323_SC-70_Handsoldering,209.042,-110.998,270,top
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.55,-100.838,0,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,211.582,-105.918,270,top
R3,470R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,219.456,-103.632,180,top
R4,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,187.905001,-123.441001,0,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,193.04,-106.426,90,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,216.408,-119.888,180,top
