Comment,Designator,Footprint,LCSC
"EEU-FR0J102","C1","SamacSys:CAPPRD350W65D800H1300",""
"22uF","C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"22uf","C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"0.1uF","C4,C5","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"0.1uF 50V","C6","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"10A","F1","Fuse:Fuseholder_Blade_Mini_Keystone_3568",""
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"SN74AHCT125D","IC1","SamacSys:SOIC127P600X175-14N","C155176"
"Conn_02x03_Odd_Even","J1","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"JST SM Connector","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x02_Male","J3","Connector_JST:JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal",""
"Conn_01x02_Male","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"SolderJumper_2_Open","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"470R","R3","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C17710"
"10K","R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"ESP32-WROOM-32D","U1","RF_Module:ESP32-WROOM-32",""
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
